============================================================
          光遇 15 键标准简谱 (音游伴侣网格量化引擎生成)
============================================================
曲目名称: 《义勇军进行曲-中华人民共和国国歌》 (ID: 12720)
编曲作者: 网络
演奏速度: 384 BPM | 节拍: 4/4 拍 | 网格细分: 16分音符 (39.1ms/槽)
音符总数: 423 个
生成时间: 2026-09-17 02:16:05

【琴键与简谱唱名对照】
  第一排 (低/中音): A1(1)  A2(2)  A3(3)  A4(4)  A5(5)
  第二排 (中/高音): B1(6)  B2(7)  B3(1') B4(2') B5(3')
  第三排 (高/倍高): C1(4') C2(5') C3(6') C4(7') C5(1'')
符号说明: '.' = 空拍/延音; 数字带点(') = 高音; [ ] = 和弦同时按压
============================================================

第 01 小节:  [11'1''] . . .  |  . . . .  |  . . . .  |  [33'] . . .
第 02 小节:  [1355'] . . .  |  . . . .  |  [55'] . . .  |  . . . .
第 03 小节:  [1466'] . . .  |  . . . .  |  . . . .  |  . . . .
第 04 小节:  [1355'] . . .  |  . . . .  |  . . . .  |  . . . .
第 05 小节:  [133'] . . .  |  . . . .  |  . . . .  |  [1'1''] . . .
第 06 小节:  [1355'] . . .  |  . [55'] . .  |  . . . [55']  |  . . . .
第 07 小节:  [1353'] . . .  |  . . . .  |  . . . .  |  . . . .
第 08 小节:  [1351'1''] . . .  |  . . . .  |  . . . .  |  . . . .
第 09 小节:  [55'] . . .  |  . [55'] . .  |  . . . [55']  |  . . . .
第 10 小节:  [2575'] . . .  |  . [55'] . .  |  . . . [55']  |  . . . .
第 11 小节:  [1351'1''] . . .  |  . . . .  |  . . . .  |  . . . .
第 12 小节:  . . . .  |  . . . .  |  [55'] . . .  |  . . . .
第 13 小节:  [11'1''] . . .  |  . . . .  |  . . . .  |  . . . .
第 14 小节:  [135] . . .  |  . . . .  |  [1'1''] . . .  |  . . . .
第 15 小节:  [1351'1''] . . .  |  . . . .  |  [1'1''] . . .  |  . . . .
第 16 小节:  [2575'] . . .  |  . . . .  |  [66'] . . .  |  [77'] . . .
第 17 小节:  [11'1''] . . .  |  . . . .  |  . . . .  |  . . . .
第 18 小节:  [1351'1''] . . .  |  . . . .  |  . . . .  |  . . . .
第 19 小节:  [135] . . .  |  . . . .  |  [33'] . . .  |  . . . .
第 20 小节:  [1351'1''] . . .  |  . . . .  |  [22'] . . .  |  [33'] . . .
第 21 小节:  [55'] . . .  |  . . . .  |  . . . .  |  . . . .
第 22 小节:  [2575'] . . .  |  . . . .  |  . . . .  |  . . . .
第 23 小节:  [133'] . . .  |  . . . .  |  . . . .  |  [33'] . . .
第 24 小节:  [1351'1''] . . .  |  . . . .  |  [33'] . . .  |  . . . .
第 25 小节:  [1355'] . . .  |  . . . .  |  . . . .  |  [33'] . . .
第 26 小节:  [2462'] . . .  |  . . . .  |  . . . .  |  . . . .
第 27 小节:  [252'] . . .  |  . . . .  |  . . . .  |  . . . .
第 28 小节:  [2575'] . . .  |  . [55'] . .  |  . . . [55']  |  . . . .
第 29 小节:  [1466'] . . .  |  . . . .  |  . . . .  |  . . . .
第 30 小节:  [1355'] . . .  |  . . . .  |  . . . .  |  . . . .
第 31 小节:  [2572'] . . .  |  . . . .  |  . . . .  |  . . . .
第 32 小节:  [1353'] . . .  |  . . . .  |  . . . .  |  . . . .
第 33 小节:  [1355'] . . .  |  . . . .  |  [1353'] . . .  |  . . . .
第 34 小节:  . . . .  |  . . . .  |  [55'] . . .  |  . . . .
第 35 小节:  [133'] . . .  |  . . . .  |  [22'] . . .  |  [33'] . . .
第 36 小节:  [1351'1''] . . .  |  . . . .  |  . . . .  |  . . . .
第 37 小节:  [373'] . . .  |  . . . .  |  . . . .  |  . . . .
第 38 小节:  [357] . . .  |  . . . .  |  . . . .  |  . . . .
第 39 小节:  [155'] . . .  |  . . . .  |  . . . .  |  [66'] . . .
第 40 小节:  [1351'1''] . . .  |  . . . .  |  [1'1''] . . .  |  . . . .
第 41 小节:  [133'] . . .  |  . . . .  |  . . . .  |  [33'] . . .
第 42 小节:  [1355'] . . .  |  . . . .  |  [55'] . . .  |  . . . .
第 43 小节:  [22'] . . .  |  . . . .  |  [22'] . . .  |  [22'] . . .
第 44 小节:  [2466'] . . .  |  . . . .  |  . . . .  |  . . . .
第 45 小节:  [252'] . . .  |  . . . .  |  . . . .  |  . . . .
第 46 小节:  [257] . . .  |  . . . .  |  [55'] . . .  |  . . . .
第 47 小节:  [11'1''] . . .  |  . . . .  |  . . . .  |  . . . .
第 48 小节:  [135] . . .  |  . . . .  |  [1'1''] . . .  |  . . . .
第 49 小节:  [133'] . . .  |  . . . .  |  . . . .  |  . . . .
第 50 小节:  [135] . . .  |  . . . .  |  [33'] . . .  |  . . . .
第 51 小节:  [55'] . . .  |  . . . .  |  . . . .  |  . . . .
第 52 小节:  [2575'] . . .  |  . [55'] . .  |  . . . [55']  |  . . . .
第 53 小节:  [11'1''] . . .  |  . . . .  |  . . . .  |  [33'] . . .
第 54 小节:  [1355'] . . .  |  . . . .  |  [55'] . . .  |  . . . .
第 55 小节:  [1466'] . . .  |  . . . .  |  . . . .  |  . . . .
第 56 小节:  [1355'] . . .  |  . . . .  |  . . . .  |  . . . .
