============================================================
          光遇 15 键标准简谱 (音游伴侣网格量化引擎生成)
============================================================
曲目名称: 《we don't talk anymore3》 (ID: 30405)
编曲作者: 网络
演奏速度: 100 BPM | 节拍: 4/4 拍 | 网格细分: 16分音符 (150.0ms/槽)
音符总数: 1570 个
生成时间: 2026-09-17 03:12:08

【琴键与简谱唱名对照】
  第一排 (低/中音): A1(1)  A2(2)  A3(3)  A4(4)  A5(5)
  第二排 (中/高音): B1(6)  B2(7)  B3(1') B4(2') B5(3')
  第三排 (高/倍高): C1(4') C2(5') C3(6') C4(7') C5(1'')
符号说明: '.' = 空拍/延音; 数字带点(') = 高音; [ ] = 和弦同时按压
============================================================

第 01 小节:  2' 3' . 3'  |  . 2' 1' 6  |  4 1 6 1  |  4 1 6 1
第 02 小节:  [42'] [13'] 6 [13']  |  4 [12'] [61'] [17]  |  1 2 7 2  |  1 2 7 2
第 03 小节:  [12'] [23'] 7 [23']  |  1 [22'] [71'] [26]  |  1 3 [16] 3  |  1 [37] 1 3
第 04 小节:  [61'] 3 1 3  |  [65'] 3 1 3  |  [32'] 1 5 1  |  3 1 5 1
第 05 小节:  [32'] [13'] 5 [13']  |  3 [12'] [51'] [16]  |  4 1 6 1  |  4 1 6 1
第 06 小节:  [42'] [13'] 6 [13']  |  4 [12'] [61'] [17]  |  1 2 7 3  |  1 2 7 2
第 07 小节:  [12'] [23'] 7 [23']  |  1 [22'] [71'] [26]  |  1 3 [16] 3  |  1 [37] 1 3
第 08 小节:  [61'] 3 1 3  |  [65'] 3 1 3  |  [32'] 1 5 1  |  3 1 5 1
第 09 小节:  [34'] 1 [53'] 1  |  [32'] 1 [51'] 1  |  [142'] . [42'] [142']  |  . 4 [143'] .
第 10 小节:  [42'] 2 [61'] 4  |  1 6 4 1  |  [152'] . [52'] [252']  |  . 5 [255'] .
第 11 小节:  [53'] 2 [72'] 5  |  2 7 5 2  |  [162'] . [62'] [262']  |  . [63'] [36] 2'
第 12 小节:  6 [31'] 1 6  |  [46] [11'] [62'] 3  |  [13] . 3 [13]  |  . 3 [13] .
第 13 小节:  [34'] 1 [43'] 3  |  [72'] 5 [31'] 1  |  [142'] . [42'] [142']  |  . 4 [143'] .
第 14 小节:  [42'] 1 [61'] 4  |  1 6 4 1  |  [152'] . [52'] [252']  |  . 5 [255'] .
第 15 小节:  [53'] 2 [72'] 5  |  2 7 5 2  |  [162'] . [62'] [362']  |  . [63'] [46] 2'
第 16 小节:  6 [31'] 1 6  |  [36] [11'] . 3  |  [1362'] . 3 [13]  |  . 3 [13] .
第 17 小节:  3 1 5 3  |  [16] 5 [37] 1  |  [37] 1 4 6  |  1 [46] [67] [11']
第 18 小节:  4 1 [67] 4  |  [16] 1 [45] 1  |  [52'] 2 5 7  |  2 [15] [15] [22']
第 19 小节:  5 2 [71'] 5  |  [27] 1 [56] 2  |  [63'] 3 6 1  |  3 6 1' [3'4']
第 20 小节:  6 [33'] 1 [61']  |  3 [16] 1 [35]  |  3 1 3 5  |  7 3 5 7
第 21 小节:  3 1 [15] 3  |  [16] 5 [37] 1  |  [51'] 1 4 6  |  1 [46] [67] [11']
第 22 小节:  4 1 [67] 4  |  [16] 1 [45] 1  |  1 [22'] 5 7  |  2 [15] [15] [22']
第 23 小节:  5 2 [71'] 5  |  [27] 1 [56] 2  |  [63'] 3 6 1  |  3 6 1 [34']
第 24 小节:  6 [33'] 1 [61']  |  3 [16] 1 [35]  |  3 . . 1  |  . . 5 .
第 25 小节:  2' 3' . 3'  |  . 2' 1' [46]  |  . 1 . 6  |  . 4 1 4
第 26 小节:  2' 3' . 3'  |  . 3' 1' [57]  |  . 2 . 7  |  . 1 2 5
第 27 小节:  2' 3' . 3'  |  . 2' 1' [36]  |  . 3 6 1  |  . [17] 3 6
第 28 小节:  1' . . .  |  5' . . .  |  [32'] 1 . 5  |  . 3 1 3
第 29 小节:  2' 3' . 3'  |  . 2' 1' [46]  |  . 1 . 6  |  . 4 1 4
第 30 小节:  2' 3' . 3'  |  . 2' 1' [57]  |  . 2 . 7  |  . 1 2 5
第 31 小节:  2' 3' . 3'  |  . 2' 1' [36]  |  . 3 6 1  |  . [17] 3 6
第 32 小节:  1' . . .  |  5' . . .  |  [32'] 1 . 5  |  . 3 1 3
第 33 小节:  2' 3' . 3'  |  . 2' 1' [46]  |  . 1 . 6  |  . 4 1 4
第 34 小节:  2' 3' . 3'  |  . 2' 1' [57]  |  . 2 . 7  |  . 1 2 5
第 35 小节:  2' 3' . 3'  |  . 2' 1' [36]  |  . 3 6 1  |  . [17] 3 6
第 36 小节:  1' . . .  |  5' . . .  |  [32'] 1 . 5  |  . 2 1 2
第 37 小节:  4' . 3' .  |  2' . 1' .  |  [142'] . [42'] [62']  |  [14] 1 [13'] [46]
第 38 小节:  2' . [41'] .  |  6 . . .  |  [152'] . [52'] [72']  |  [25] 1 [26'] [57]
第 39 小节:  3' . 2' .  |  7 . . .  |  [162'] . [62'] [12']  |  [36] [13'] 3 [62']
第 40 小节:  . 1' 6 .  |  [16] 1' 2' .  |  [13] . 3 5  |  3 5 7 [35]
第 41 小节:  . 4' . [33']  |  . [52'] . 1'  |  . [146'] . [46']  |  [65'] [14] [65'] [15']
第 42 小节:  [46] 4' . [44']  |  3' 6 . 2'  |  [152'] . [51'] [72']  |  [25] [75'] 2 [57]
第 43 小节:  3' . [52'] .  |  7 . . .  |  [162'] . [62'] [12']  |  [36] [13'] 3 [162']
第 44 小节:  . 1' 6 .  |  [16] 1' 2' .  |  [13] . 3 5  |  3 5 1 [35]
第 45 小节:  . . [35] .  |  [56] . 7 .  |  [41'] 4 2 4  |  4 [46] [17] [41']
第 46 小节:  1 4 [17] 4  |  [46] 4 [15] 4  |  [52'] 5 2 5  |  1 5 [25] [52']
第 47 小节:  1 [52'] [21'] [51']  |  [57] [57] [26] 5  |  [63'] 6 3 6  |  1 6 3 [14']
第 48 小节:  1 [13'] 3 [61']  |  1 6 3 [15]  |  3 3 1 3  |  1 3 1 3
第 49 小节:  1 3 [15] 3  |  [36] 3 [17] 3  |  [41'] 4 1 4  |  4 [46] [17] [41']
第 50 小节:  1 4 [17] 4  |  [46] 4 [15] 4  |  [52'] 5 2 5  |  1 5 [25] [52']
第 51 小节:  1 [52'] [21'] [51']  |  [57] [57] [26] 5  |  [63'] 1 3 6  |  1 6 3 [14']
第 52 小节:  1 [13'] 3 [61']  |  1 6 3 [15]  |  3 . . .  |  2' 3' . 3'
第 53 小节:  . 2' [51'] 6  |  . . . .  |  [46] 4 6 1'  |  4' 6' 1'' 2'
第 54 小节:  3' . 3' .  |  2' 1' [37] .  |  7 5 7 2'  |  5' 7' 1'' .
第 55 小节:  2' 3' . 3'  |  . 2' 1' [36]  |  1' 6 1' 3'  |  6' 1'' . .
第 56 小节:  1 . . .  |  5 . . .  |  [21''] 7' 5' 3'  |  7 5 3 1
第 57 小节:  2' 3' . 3'  |  . 2' 1' [46]  |  [14] . . [1461']  |  . . [1466'] .
第 58 小节:  2' 3' . 3'  |  . 2' 1' [57]  |  [15] . . [2572']  |  . . [72'5'7'] .
第 59 小节:  [22'] [33'] . [33']  |  . [22'] [11'] .  |  [136] . 1 [361'3']  |  . 1 [1'3'6'1''] .
第 60 小节:  1 . . .  |  5 . . .  |  [13] . . [357]  |  . . [3575'] .
第 61 小节:  4' . 3' .  |  2' . 1' .  |  [46] 1 6 4  |  [15] 6 4 1
第 62 小节:  [164'] 4 [11''] 6  |  [42'] 1 [61'] 4  |  [56] 2 1 1  |  [25] 1 1 2
第 63 小节:  [74'] 1 [23'] 7  |  [52'] 2 [71'] 5  |  [16] 3 1 1  |  [35] 1 [61'] 3
第 64 小节:  [16] 1 3 1  |  [15] 3 [13] 1  |  2 . . .  |  . . . .
第 65 小节:  [54'] 3 [73'] 5  |  [32'] 1 [51'] 3  |  [146] 1 1 4  |  [15] 6 4 1
第 66 小节:  [164'] 4 [13'] 6  |  [42'] 1 [61'] 4  |  [156] 2 1 1  |  [25] 1 1 2
第 67 小节:  [74'] 5 [23'] 7  |  [52'] 2 [71'] 5  |  6 3 1 1  |  [35] 1 [61'] 3
第 68 小节:  [16] 1 3 1  |  [15] 3 [13] 1  |  2 . . .  |  . . . .
第 69 小节:  1 . 5 .  |  6 . 7 .  |  [461'] 4 1 4  |  [61'] [16] [27] [31']
第 70 小节:  . 1 [67] 4  |  [16] 1 [45] 1  |  [52'] 5 2 5  |  1 [25] [25] [52']
第 71 小节:  . [22'] [71'] [51']  |  [27] [17] [56] 2  |  [63'] 6 3 6  |  1 3 6 4'
第 72 小节:  3 [13'] 6 [31']  |  1 [16] 3 [15]  |  1 3 7 3'  |  3 3' 7 3
第 73 小节:  1 3 [15] 3  |  [36] 3 [17] 3  |  1 4 1 4  |  6 [16] [27] [31']
第 74 小节:  . 1 [67] 4  |  [16] 1 [45] 1  |  [52'] 5 2 5  |  1 [25] [25] [52']
第 75 小节:  . [22'] [71'] [51']  |  [27] [17] [56] 2  |  [63'] 6 3 6  |  1 3 6 4'
第 76 小节:  3 [13'] 6 [31']  |  1 6 3 [63']  |  1 3 7 3  |  5 7 . 3
第 77 小节:  2' 3' 3 3'  |  [13] [52'] [31'] [146]  |  . . 4 6  |  [14] 6 1' [46]
第 78 小节:  2' 3' 4 3'  |  [46] [12'] [61'] [257]  |  . . 5 7  |  [25] 1 2 [57]
第 79 小节:  2' 3' 5 3'  |  [57] [22'] [11'] [136]  |  . . [16] 1  |  [36] [17] 3 1
第 80 小节:  1' . 1 .  |  [165'] 3 1 .  |  [152'] . . .  |  . . . .
第 81 小节:  [24'] 3 3' 3  |  2' 2 [11'] .  |  [46] . . .  |  5 . . .
第 82 小节:  [24'] 3 3' 3  |  2' 2 [11'] [15]  |  6 . . .  |  5 . . .
第 83 小节:  [24'] 3 3' 3  |  2' 2 [11'] [46]  |  . . . 5  |  1 1' . .
第 84 小节:  . [16] . .  |  . 5 . 3  |  2 . . .  |  . . . .
第 85 小节:  [24'] 3 3' 3  |  2' 2 [11'] .  |  [146] . . .  |  5 . . .
第 86 小节:  [24'] 3 3' 3  |  2' 2 [11'] .  |  [156] . . .  |  5 . . .
第 87 小节:  [24'] 3 3' 3  |  2' 2 [11'] .  |  [156] . . .  |  5 1 1' .
第 88 小节:  [16] . . .  |  5 . 3 .  |  2 . . .  |  . . . .
第 89 小节:  2' 3' . 3'  |  . 2' 1' [16]  |  . . . .  |  . . . .

============================================================
                    简谱生成完毕，祝演奏愉快！
============================================================
