============================================================
          光遇 15 键标准简谱 (音游伴侣网格量化引擎生成)
============================================================
曲目名称: 《《青花瓷》三人合奏谱》 (ID: 33730)
编曲作者: 网络
演奏速度: 103 BPM | 节拍: 4/4 拍 | 网格细分: 16分音符 (145.6ms/槽)
音符总数: 1323 个
生成时间: 2026-09-16 06:11:17

【琴键与简谱唱名对照】
  第一排 (低/中音): A1(1)  A2(2)  A3(3)  A4(4)  A5(5)
  第二排 (中/高音): B1(6)  B2(7)  B3(1') B4(2') B5(3')
  第三排 (高/倍高): C1(4') C2(5') C3(6') C4(7') C5(1'')
符号说明: '.' = 空拍/延音; 数字带点(') = 高音; [ ] = 和弦同时按压
============================================================

第 01 小节:  [55'] . [55'] .  |  [33'] . [22'] .  |  [33'] . [242'] .  |  [61'] . [16] .
第 02 小节:  2 . 3 .  |  5 . [22'] .  |  [33'] . [1362'] .  |  [251'] . [15] .
第 03 小节:  2 . 3 .  |  5 . [272'] .  |  [33'] . [2572'] .  |  [61'] . [16] .
第 04 小节:  3 . [41'] .  |  [12'] . 2 .  |  [46] . [1363'] .  |  5 . 1 .
第 05 小节:  2 . [31'] .  |  [52'] . [2573'] .  |  [35'] . [62'5'] .  |  [33'] . [63'] .
第 06 小节:  1 . [22'] .  |  3 . [11'] .  |  2 . [2572'] .  |  [41'] . [26] .
第 07 小节:  3 . [11'] .  |  [22'] . [63'] .  |  1' . [256'] .  |  [25'] 6' [55'] 6'
第 08 小节:  [21'5'] 6' [55'] 6'  |  [25'] 6' [1'5'] 6'  |  [2'5'] 6' [575'] .  |  . . . .
第 09 小节:  . . . .  |  [22'] . [11'] .  |  6 . [141'] .  |  1 . [21'] .
第 10 小节:  [56] . 1' .  |  . . 1' .  |  6 . [361'] .  |  [26] . [15] .
第 11 小节:  2 . 5 .  |  2' . 1' .  |  [26] . [1361'] .  |  5 . [11'] .
第 12 小节:  [256] . 1' .  |  . . 1' .  |  3' . [1362'] .  |  [51'] . [21'] .
第 13 小节:  5 . . .  |  [25] . . [16]  |  . [52'] . [143']  |  . 1 . [23']
第 14 小节:  . [52'] . 3'  |  . . . 3'  |  . 2' . [143']  |  . [15'] . 2
第 15 小节:  . [53'] . .  |  . [463'] . [13']  |  . 3' . [2572']  |  . [52'] . [12']
第 16 小节:  . [252'] . 1'  |  . . . [146]  |  . [53'] . [57]  |  . 2' . .
