============================================================
          光遇 15 键标准简谱 (音游伴侣网格量化引擎生成)
============================================================
曲目名称: 《This is what sadness feels like》 (ID: 39211)
编曲作者: /
演奏速度: 630 BPM | 节拍: 4/4 拍 | 网格细分: 16分音符 (23.8ms/槽)
音符总数: 486 个
生成时间: 2026-09-16 06:10:02

【琴键与简谱唱名对照】
  第一排 (低/中音): A1(1)  A2(2)  A3(3)  A4(4)  A5(5)
  第二排 (中/高音): B1(6)  B2(7)  B3(1') B4(2') B5(3')
  第三排 (高/倍高): C1(4') C2(5') C3(6') C4(7') C5(1'')
符号说明: '.' = 空拍/延音; 数字带点(') = 高音; [ ] = 和弦同时按压
============================================================

第 01 小节:  6 . . .  |  . . . .  |  . . . .  |  . 3 . .
第 02 小节:  . . . .  |  . . . .  |  [61'] . . .  |  . . . .
第 03 小节:  . . 3 .  |  . . . .  |  . . . .  |  [1'3'] . . .
第 04 小节:  . . . .  |  . . 3 .  |  . . . .  |  . . . .
第 05 小节:  [3'6'] . . .  |  . . . .  |  . . 3 .  |  . . . .
第 06 小节:  . . . .  |  [57'] . . .  |  . . . .  |  . . . .
第 07 小节:  . 1' . .  |  . . . .  |  . . . .  |  . . . [3'1'']
第 08 小节:  . . . .  |  . . . .  |  . . . .  |  1' . . .
第 09 小节:  . . . .  |  . . . .  |  . . 3' .  |  . . . .
第 10 小节:  . . . .  |  . . . .  |  . . . .  |  . . . .
第 11 小节:  . . . .  |  . . . .  |  . . . .  |  . . . .
第 12 小节:  . . . .  |  . . . .  |  . . . .  |  . . . .
第 13 小节:  . . . .  |  . . . .  |  . . . .  |  . . . .
第 14 小节:  . . . .  |  [56] . . .  |  . . . .  |  . . . .
第 15 小节:  . 3 . .  |  . . . .  |  . . . [61']  |  . . . .
第 16 小节:  . . . .  |  . 3 . .  |  . . . .  |  . . . [1'3']
第 17 小节:  . . . .  |  . . . .  |  . 3 . .  |  . . . .
第 18 小节:  . . . .  |  [3'6'] . . .  |  . . . .  |  . . 3 .
第 19 小节:  . . . .  |  . . . .  |  [47'] . . .  |  . . . .
第 20 小节:  . . . .  |  . 1' . .  |  . . . .  |  . . . .
第 21 小节:  . . . [3'6']  |  . . . .  |  . . . .  |  . . . .
第 22 小节:  1' . . .  |  . . . .  |  . . . .  |  . 3' . .
第 23 小节:  . . . .  |  . . . .  |  . . . .  |  . . . .
第 24 小节:  . . . .  |  . . . .  |  . . . .  |  . . . .
第 25 小节:  . . . .  |  . . . .  |  . . . .  |  . . . .
第 26 小节:  . . . .  |  . . . .  |  . . . .  |  . . . .
第 27 小节:  . . . .  |  . . . [46]  |  . . . .  |  . . . .
第 28 小节:  . [11'] . .  |  . . . .  |  [42'] . . .  |  . . . [63']
第 29 小节:  . . . .  |  . . [42'] .  |  . . . .  |  [11'] . . .
第 30 小节:  . . . [46]  |  . . . .  |  . . [11'] .  |  . . . .
第 31 小节:  . [42'] . .  |  . . . [63']  |  . . . .  |  . . [42'] .
