============================================================
          光遇 15 键标准简谱 (音游伴侣网格量化引擎生成)
============================================================
曲目名称: 《花之舞》 (ID: 40122)
编曲作者: 佚名
演奏速度: 120 BPM | 节拍: 4/4 拍 | 网格细分: 16分音符 (125.0ms/槽)
音符总数: 1929 个
生成时间: 2026-09-17 02:07:26

【琴键与简谱唱名对照】
  第一排 (低/中音): A1(1)  A2(2)  A3(3)  A4(4)  A5(5)
  第二排 (中/高音): B1(6)  B2(7)  B3(1') B4(2') B5(3')
  第三排 (高/倍高): C1(4') C2(5') C3(6') C4(7') C5(1'')
符号说明: '.' = 空拍/延音; 数字带点(') = 高音; [ ] = 和弦同时按压
============================================================

第 01 小节:  . . . .  |  . . . .  |  . [43'] . [12']  |  . [46'] . [52']
第 02 小节:  . . [63'] .  |  2' . 6 .  |  2' . . [53']  |  . [22'] . [56']
第 03 小节:  . [62'] . .  |  [73'] . 2' .  |  6 . 2' .  |  . [63'] . [32']
第 04 小节:  . [66'] . [72']  |  . . [1'3'] .  |  2' . 6 .  |  2' . . 3'
第 05 小节:  . 2' . 6'  |  . 2' . .  |  3' . 2' .  |  6 . 2' .
第 06 小节:  . [43'] . [12']  |  . [46'] . [52']  |  . . [63'] .  |  2' . 6 .
第 07 小节:  2' . . [53']  |  . [22'] . [56']  |  . [62'] . .  |  [73'] . 2' .
第 08 小节:  6 . 2' .  |  . [63'] . [32']  |  . [66'] . [72']  |  . . [1'3'] .
第 09 小节:  2' . 6' .  |  2' . . [361'6']  |  . . . .  |  . . . .
第 10 小节:  [43'] . 1 .  |  4 6 1' .  |  3' [52'] . 2  |  . [75'] . .
第 11 小节:  . . [52'] .  |  3 7' [56'] .  |  7 . 5' [66']  |  . 3 . [63']
第 12 小节:  . . . .  |  [46] . 1 6  |  [43'] . . .  |  . [52'] 2' [23']
第 13 小节:  2' [57] . .  |  5 . [36] .  |  3 . 6 .  |  . 7 . 1'
第 14 小节:  . 3 . .  |  6 . 3' .  |  [463'] . 1 .  |  . 4 6 [61']
第 15 小节:  3' [52'] . 2  |  . . [75'] .  |  . . [52'] .  |  3 5' . [56']
第 16 小节:  . [77'] . [63']  |  1'' . [32'] 7'  |  [61'] 6' [37] 5'  |  [46] 3' . [12']
第 17 小节:  3' [46] 3' [62']  |  3' [56] . 3'  |  [22'] 3' [56] 3'  |  [72'] 3' 6 .
第 18 小节:  3' [31'] 3' 6  |  3' 1' 3' .  |  [36] . 3 .  |  6 . 3 .
第 19 小节:  . [61'] 3 7  |  3 [61'] 3 [62']  |  . 3 [57] 3  |  6 3 [35] .
第 20 小节:  . 3 5 [46]  |  1 [45] 1 [46]  |  . 1 [41'] 1  |  [35] 1 [24] 1
第 21 小节:  [13] . . 3'  |  5' [2'4'] 6 [23']  |  6 [62'] . 6  |  [24'] 6 [63'] 6
第 22 小节:  [32'] 6 . [61']  |  6 [1'3'] 6 [62']  |  4 [61'] 4 .  |  [67] 4 [46] 4
第 23 小节:  [35] . 4 6  |  . [37] . 3  |  . [61'] 3 .  |  7 3 [61'] 3
第 24 小节:  2' 3 [57] 3  |  . 6 3 [35]  |  . 3 5 [46]  |  . 1 [45] 1
第 25 小节:  [46] [17] [61'] [16]  |  . [35] 1 [24]  |  1 [13] . 3  |  5 . 4 .
第 26 小节:  [24'] 3' [462'] 1'  |  [27] . . [63']  |  2' [33'] 4' [63']  |  2' [31'] . 7
第 27 小节:  [46] . 3' .  |  [25] . . 3'  |  . [36] . 3'  |  . [1'6'] . .
第 28 小节:  . . [463'] .  |  1 . 4 6  |  . [61'] 3' [52']  |  . 2 . 7
第 29 小节:  5' . . .  |  [52'] . 3 7'  |  [56'] . . 7  |  5' [66'] . 3
第 30 小节:  . [63'] . .  |  3 . [46] .  |  1 6 . [43']  |  . 6 . [52']
第 31 小节:  2' [23'] . 2'  |  [57] . [35] .  |  [36] . 3 .  |  . 6 . 7
第 32 小节:  . [61'] . 3  |  . . 6 .  |  3' . [463'] .  |  . 1 . 4
第 33 小节:  6 [61'] 3' [52']  |  . . 2 .  |  [75'] . . .  |  [72'] . . [35']
第 34 小节:  . [56'] . [77']  |  . [63'] 1'' .  |  [32'] 7' [61'] 6'  |  [37] 5' [46] .
第 35 小节:  3' [12'] 3' [46]  |  3' [62'] 3' .  |  [56] 3' [22'] 3'  |  [56] 3' [72'] 3'
第 36 小节:  . [36] 3' [31']  |  3' 6 3' .  |  [71'] 3' [136] .  |  . . [463'] .
第 37 小节:  1 . . 4  |  6 [61'] 3' [52']  |  . . 2 .  |  [75'] . . .
第 38 小节:  [52'] . . 3  |  7' [56'] . 7  |  5' [66'] . .  |  3 . [63'] .
第 39 小节:  . . [46] .  |  . 1 . [463']  |  . . . [52']  |  . 2' [23'] 2'
第 40 小节:  [57] . [35] .  |  [36] . . 3  |  . 6 . 7  |  . 6 1' .
第 41 小节:  3 . 6 .  |  3' . 4 [63']  |  . 1 . [14]  |  6 1' 3' .
