============================================================
          光遇 15 键标准简谱 (音游伴侣网格量化引擎生成)
============================================================
曲目名称: 《起风了 高度还原》 (ID: 7465)
编曲作者: 网络
演奏速度: 150 BPM | 节拍: 4/4 拍 | 网格细分: 16分音符 (100.0ms/槽)
音符总数: 2422 个
生成时间: 2026-09-16 06:08:00

【琴键与简谱唱名对照】
  第一排 (低/中音): A1(1)  A2(2)  A3(3)  A4(4)  A5(5)
  第二排 (中/高音): B1(6)  B2(7)  B3(1') B4(2') B5(3')
  第三排 (高/倍高): C1(4') C2(5') C3(6') C4(7') C5(1'')
符号说明: '.' = 空拍/延音; 数字带点(') = 高音; [ ] = 和弦同时按压
============================================================

第 01 小节:  [47] . 1' .  |  [12'] . 3' .  |  6 . 5 .  |  5' . 3' .
第 02 小节:  [51'] . . .  |  7 . . .  |  [2'5'] . . .  |  . . . .
第 03 小节:  [37] . 1' .  |  [52'] . 3' .  |  7 . 5 .  |  5' . 3' .
第 04 小节:  [62'] . 3' .  |  [31'] . 2' .  |  [357] . 1' .  |  5 . . .
第 05 小节:  [47] . 1' .  |  [12'] . 3' .  |  6 . 5 .  |  5' . 3' .
第 06 小节:  [57] . . .  |  7 . . .  |  [2'5'] . . .  |  . . . .
第 07 小节:  [37] . 1' .  |  [52'] . 3' .  |  7 . 5 .  |  5' . 3' .
第 08 小节:  [362'] . 3' .  |  1' . [62'] .  |  [1367] . 1' .  |  [25] . . .
第 09 小节:  [147] . 1' .  |  [12'] . 3' .  |  [46] . 5 .  |  [45'] . [13'] .
第 10 小节:  [25] . . .  |  . . 2 .  |  [57] . . .  |  2 . 5 .
第 11 小节:  [357] . 1' .  |  [32'] . [53'] .  |  [57] . 5 .  |  [35'] . 3' .
第 12 小节:  [362'] . 3' .  |  [31'] . 2' .  |  [367] . [31'] .  |  [15] . 3 .
第 13 小节:  [147] . 1' .  |  [12'] . 3' .  |  [46] . 5 .  |  [45'] . [13'] .
第 14 小节:  [25] . . .  |  2 . . .  |  [57] . 2 .  |  [25] . 2 .
第 15 小节:  [366'] . 3' .  |  2' . 6 .  |  3 . 6 .  |  2' . 3' .
第 16 小节:  [136] . . .  |  . . . .  |  . . . .  |  . . . .
第 17 小节:  [152'] . . .  |  1 . 1' .  |  [52'] . . .  |  . . 1' .
第 18 小节:  [132'] . . .  |  [13'] . . .  |  [355'] . . .  |  [13'] . . .
第 19 小节:  [252'] . . .  |  2 . 1' .  |  [572'] . . .  |  5 . 1' .
第 20 小节:  [252'] . . 3'  |  [22'] . 1' .  |  [56] . . .  |  . . . .
第 21 小节:  [352'] . . .  |  3 . 1' .  |  [572'] . . .  |  3 . 1' .
第 22 小节:  [52'] . . .  |  [33'] . . .  |  [75'] . . .  |  [53'] . . .
第 23 小节:  [362'] . . .  |  3 . 3' .  |  [62'] . . .  |  [31'] 2' . .
第 24 小节:  [362'] . . .  |  3 . . .  |  [13] . . .  |  3 . . .
第 25 小节:  [142'] . . .  |  1 . 1' .  |  [42'] . . .  |  1 . 1' .
第 26 小节:  [252'] . . .  |  [23'] . . .  |  [75'] . . .  |  [53'] . . .
第 27 小节:  [362'] . . .  |  3 . 3' .  |  [62'] . . .  |  [31'] . 6 .
第 28 小节:  [36] . . .  |  . . . .  |  [573'] . . 2'  |  1' . . 2'
第 29 小节:  [141'] . . .  |  . . . .  |  3' . . 2'  |  1' . . 2'
第 30 小节:  [251'] . . .  |  . . . 5  |  3' . . 2'  |  1' . . 7
第 31 小节:  [1351'] . . .  |  1 . . .  |  [35] . . .  |  1 . . .
第 32 小节:  [11'] . . .  |  [32'] . . .  |  [53'] . . .  |  [11'] . . .
第 33 小节:  [146'] . . .  |  [15'] . 6' .  |  [467'] . . .  |  1'' . . .
第 34 小节:  [257'] . . .  |  [26'] . 7' .  |  [57] . . .  |  . . . .
第 35 小节:  [357] . . .  |  [36] . 7 .  |  5 . . .  |  3 . . .
第 36 小节:  [361'] . . 2'  |  [31'] . 7 .  |  [36] . . .  |  [255'] . . .
第 37 小节:  [146'] . . .  |  [15'] . 6' .  |  [46] . 5' .  |  6' . 5' .
第 38 小节:  [256'] . . .  |  [25'] . 2' .  |  [57] . 5' .  |  . . . .
第 39 小节:  [133'] . . .  |  1 . . .  |  [35] . . .  |  [12'] . 3' .
第 40 小节:  [131'] . 1 .  |  [32'] . . .  |  [353'] . 3 .  |  [11'] . . .
第 41 小节:  [146'] . . .  |  [15'] . 6' .  |  [467'] . . .  |  [11''] . . .
第 42 小节:  [257'] . . .  |  [26'] . 7' .  |  [57] . . .  |  2 . . .
第 43 小节:  [357] . . .  |  [36] . 7 .  |  [57] . . .  |  3 . . .
第 44 小节:  [361'] . . 2'  |  [31'] . 7 .  |  6 . . .  |  3 . 5 .
第 45 小节:  [146] . . .  |  [13'] . [53'] .  |  [461'] . 2' .  |  [15] . . .
第 46 小节:  [256] . . .  |  [23'] . 3' .  |  [57] . 6 .  |  2 . 6 .
第 47 小节:  [136] . 5' .  |  [1362'] . 5 .  |  [1361'] . 2' .  |  [1365'] . 2' .
第 48 小节:  [1361'3'6'] . [1361'3'6'] .  |  . . . .  |  [161'] . . .  |  [272'] . . .
第 49 小节:  [1463'] . . .  |  [16'] . [45'] .  |  [61'] . 6 .  |  [46'] . [15'] .
第 50 小节:  [257] . 2 .  |  [56'] . [25'] .  |  [57] . [52'] .  |  2 . 5 .
第 51 小节:  [353'] . 3 .  |  [76'] . [55'] .  |  [357] . . .  |  [36'] . [55'] .
第 52 小节:  [136] . 3 .  |  [61'6'] . [35'] .  |  [357] . [33'] .  |  5 . 7 .
第 53 小节:  [1462'] . 1 .  |  [41'] . [16] .  |  4 . [61'] .  |  [46] . [41'] .
第 54 小节:  [2572'] . 2 .  |  [51'] . [26] .  |  . . [25] .  |  2 . [52'] .
第 55 小节:  [3573'] . 3 .  |  5 . 7 .  |  [57] . 3 .  |  3' . [57] 2'
第 56 小节:  [1363'] . [12'] .  |  3 . 1 .  |  [361'] . 1 .  |  [362'] . 3 .
第 57 小节:  [1463'] . 1 .  |  [46'] . [65'] .  |  [61'] . 4 .  |  [146'] . [65'] .
第 58 小节:  [257] . 2 .  |  [576'] . [55'] .  |  2 . 5 .  |  [57] . [22'] .
第 59 小节:  [3573'] . 3 .  |  [576'] . [35'] .  |  [57] . 5 .  |  [36'] . [55'] .
第 60 小节:  [136] . 1 .  |  [66'] . [1365'] .  |  . . [257] .  |  . . [53'] .
第 61 小节:  [1462'] . 1 .  |  [461'] . [16] .  |  4 . [61'] .  |  4 . [11'] .
第 62 小节:  [2572'] . 2 .  |  [51'] . [26] .  |  [25] . [21'] .  |  [57] . 5 .
第 63 小节:  [1361'] . . .  |  [13] . [35] .  |  [61'] . [32'] .  |  [15'] . [35] .
第 64 小节:  [1361'3'5'] . [16'] .  |  3 . 1 .  |  [16] . [2573'] .  |  5 . 2 .
第 65 小节:  [142'] . 1 .  |  [41'] . [16] .  |  1 . 2 .  |  5 . 3' .
第 66 小节:  [2572'] . . .  |  1' . 6 .  |  . . 1' .  |  . . . .
第 67 小节:  [147] . 1' .  |  [12'] . 3' .  |  [46] . [15] .  |  [45'] . [13'] .
第 68 小节:  [25] . . .  |  2 . . .  |  [457] . . .  |  5 . 2 .
第 69 小节:  [357] . 1' .  |  [32'] . [53'] .  |  [57] . 5 .  |  [35'] . [53'] .
第 70 小节:  [362'] . 3' .  |  [31'] . 2' .  |  [367] . [31'] .  |  5 . 3 .
第 71 小节:  [147] . 1' .  |  [12'] . 3' .  |  [46] . 5 .  |  [45'] . [13'] .
第 72 小节:  [251'] . 1 .  |  . . 2 .  |  [57] . 5 .  |  2 . 7 .
第 73 小节:  [1366'] . 3' .  |  2' . 6 .  |  3 . 6 .  |  2' . 3' .
第 74 小节:  [136] . . .  |  . . . .  |  [13] . . .  |  . . . 1'
第 75 小节:  [152'] . . .  |  . . 1' .  |  [352'] . . .  |  1 . 5 1'
第 76 小节:  [352'] . . .  |  [13'] . . .  |  [51'5'] . . .  |  [53'] . . .
第 77 小节:  [252'] . . .  |  . . 1' .  |  [572'] . . .  |  2 . . 1'
第 78 小节:  [572'] . . 3'  |  [52'] . 1' .  |  [26] . . .  |  5 . . 1'
第 79 小节:  [352'] . . .  |  3 . 1' .  |  [572'] . . .  |  5 . 1' .
第 80 小节:  [32'] . . .  |  [53'] . . .  |  [75'] . . .  |  [53'] . . .
第 81 小节:  [362'] . . .  |  3 . 3' .  |  [62'] . . .  |  [31'] 2' . .
第 82 小节:  [362'] . . .  |  . . . .  |  [136] . . .  |  [37] . . .
第 83 小节:  [2462'] . . .  |  . . 1' .  |  [462'] . . .  |  2 . 1' .
第 84 小节:  [252'] . . .  |  [23'] . . .  |  [575'] . . .  |  [53'] . . .
第 85 小节:  [1362'] . . .  |  1 . 3' .  |  [32'] . . .  |  [361'] . 6 .
第 86 小节:  [136] . . .  |  1 . . .  |  [353'] . . 2'  |  [51'] . . 2'
第 87 小节:  [141'] . . .  |  . . . .  |  [461'3'] . . 2'  |  1' . . 2'
第 88 小节:  [251'] . . .  |  . . 6 .  |  [573'] . . 2'  |  1' . . 7
第 89 小节:  [131'] . . .  |  1 . . .  |  [351'] . . .  |  3 . . .
第 90 小节:  [11'] . . .  |  [32'] . . .  |  [53'] . . .  |  [11'] . . .
第 91 小节:  [1466'] . . .  |  [15'] . 6' .  |  [461'7'] . . .  |  [41''] . [11'] .
第 92 小节:  [257'] . . .  |  [26'] . 7' .  |  [572'] . . .  |  5 . 2 .
第 93 小节:  [357] . . .  |  [36] . 7 .  |  [57] . . .  |  3 . . .
第 94 小节:  [1361'] . . 2'  |  [11'] . 7 .  |  [36] . . .  |  [255'] . . .
第 95 小节:  [146'] . . .  |  [15'] . 6' .  |  [46] . 5' .  |  [16'] . 5' .
第 96 小节:  [256'] . . .  |  [25'] . 2' .  |  [57] . 5' .  |  . . 3 .
第 97 小节:  [133'] . . .  |  3 . . .  |  [51'] . . .  |  [33'] . [14'] .
第 98 小节:  [131'] . 1 .  |  [352'] . . .  |  [351'3'] . 5 .  |  [31'] . 1 .
第 99 小节:  [146'] . . .  |  [15'] . 6' .  |  [467'] . . .  |  [11'1''] . . .
第 100 小节:  [257] . . .  |  [26] . 7 .  |  5 . [572'] .  |  5 . 2 .
第 101 小节:  [357] . . .  |  6 . 7 .  |  [256] . 3 .  |  . . 3 .
第 102 小节:  [1361'] . . 2'  |  [11'] . 7 .  |  [36] . . .  |  1 . 5 .
第 103 小节:  [146] . . .  |  [1'3'] . [63'] .  |  1 . 2 .  |  [15] . . .
第 104 小节:  [256] . . .  |  [53'] . 3' .  |  [25] . 6 .  |  2 . 6 .
第 105 小节:  [136] . 5 .  |  [1236] . [2'5'] [61']  |  [1356] . 2 .  |  [1361'] . 2' .
第 106 小节:  [1361'3'5'] . [1361'3'5'] .  |  . . . .  |  [161'] . . .  |  [272'] . . .
第 107 小节:  [1463'] . 1 .  |  6' . [65'] .  |  [461'] . . .  |  [46'] . [15'] .
第 108 小节:  [257] . 2 .  |  [56'] . [25'] .  |  [57] . 2' .  |  5 . 2 .
第 109 小节:  [3573'] . . .  |  [36'] . [55'] .  |  [357] . 2' .  |  [76'] . [55'] .
第 110 小节:  [136] . 1 .  |  [36'] . [65'] .  |  [25] 2' [23'] .  |  5 . 2 .
第 111 小节:  [1462'] . . .  |  [11'] . [46] .  |  [14] . [11'] .  |  4 . [61'] .
第 112 小节:  [2572'] . . .  |  [21'] . 6 .  |  [57] . 1' .  |  5 . [21'] .
第 113 小节:  [3573'] . 3 .  |  1 . [35] 1  |  3 . 2 .  |  [3573'] . 5 2'
第 114 小节:  [1363'] . [12'] .  |  3 . 6 .  |  [31'] . 1 .  |  [1362'] . 1 .
第 115 小节:  [1463'] . 1 .  |  [46'] . [65'] .  |  [461'] . 4 .  |  [16'] . [45'] .
第 116 小节:  [257] . 2 .  |  [56'] . [75'] .  |  [25] . [257] .  |  2 . [52'] .
第 117 小节:  [3573'] . . .  |  [36'] . [575'] .  |  5 . 3 .  |  [576'] . [355'] .
第 118 小节:  [136] . . .  |  [36'] . [65'] .  |  [257] . 5 .  |  [21'] . [53'] .
第 119 小节:  [142'] . . .  |  [11'] . [46] .  |  [14] . 1' .  |  4 . [11'] .
第 120 小节:  [2572'] . . .  |  [21'] . [56] .  |  [25] . 1' .  |  5 . 2 .
第 121 小节:  [1361'] . . .  |  [1361''] 6' 3' 1'  |  [1361'] 6 3 1  |  [136] 7 1' 3'
第 122 小节:  [1362'] . 3' .  |  1' . [12'] .  |  [367] . [51'] .  |  [25] . 2 .
第 123 小节:  [14567] . 1' .  |  [12'] . 3' .  |  [46] . [15] .  |  [45'] . [12'] 3'
第 124 小节:  [257] . . .  |  2 . 5 .  |  [574'] . 2 .  |  5 . 2 .
第 125 小节:  [357] . 1' .  |  [32'] . 3' .  |  [57] . [35] .  |  [55'] . [32'] 3'
第 126 小节:  [136] . . .  |  3 . [1361'] 2'  |  3' . [257] .  |  1'' . 5 3'
第 127 小节:  [14562'] . [11'] .  |  [45] . [16] .  |  [61'] . [15] .  |  1 2 3 .
第 128 小节:  [25] . 1 6  |  2 . 1' .  |  [256] . 2 3  |  5 . 1 .
第 129 小节:  [351'] . 6 .  |  1' . [32'] .  |  [357] 2' 3' .  |  5 . [35'] .
第 130 小节:  [136] . 2 3  |  5 . [11'3'] .  |  [361'] . [33'] .  |  1 . [35'] .
第 131 小节:  [1463'5'] . 2' 3'  |  1 . 5' .  |  [461'5'] . 1' 2'  |  [43'] . [15'] .
第 132 小节:  [2572'3'5'] . 1' 2'  |  [23'] . 5' 3'  |  [572'] . . .  |  [21'] . [56] .
第 133 小节:  [3572'5'] . 6 .  |  [31'] . 6 .  |  [572'5'] . 2 3  |  4 . 3 .
第 134 小节:  [1356] . 5 .  |  [1361'] . [131'] .  |  [257] . [252'] .  |  5 . [233'] .
第 135 小节:  [1461'3'] . . .  |  [61'] . 1 5'  |  [466'] . 1 .  |  [41'5'] . 1 .
第 136 小节:  [2572'4'] . . .  |  [23'] . . .  |  [571'] . . .  |  [57] . 2 .
第 137 小节:  [1361'3'5'] . . .  |  [136] . 5 .  |  [1361'] . 2' .  |  [363'] . [15'] .
第 138 小节:  [1361'3'6'1''] . . .  |  . . . .  |  1' . 2' .  |  . . . .
第 139 小节:  [463'] . . .  |  6' . 5' .  |  . . . .  |  6' . 5' .
第 140 小节:  [572'] . . .  |  6' . 5' .  |  . . 2' .  |  . . . .
第 141 小节:  [353'] . . .  |  6' . 5' .  |  . . . .  |  6' . 5' .
第 142 小节:  [351'] . . .  |  [16'] . 5' .  |  6 2' 3' .  |  . . . .
第 143 小节:  [462'] . . .  |  1' . 6 .  |  . . 1' .  |  . . 1' .
第 144 小节:  [572'] . . .  |  [21'] . 6 .  |  7 . . .  |  . . 1' .
第 145 小节:  [61'3'] . . .  |  . . . .  |  5 . . .  |  3' . . 2'
第 146 小节:  [573'] . 2' .  |  . . . .  |  1' . . .  |  2' . . .
第 147 小节:  [473'] . 1' .  |  [2'6'] . [3'5'] .  |  3 . 5 .  |  [5'6'] . [3'5'] .
第 148 小节:  5 . . .  |  [76'] . 5' .  |  2' . 2' .  |  . . . .
第 149 小节:  [373'] . 1' .  |  [2'6'] . [3'5'] .  |  2' . 5 .  |  [5'6'] . [3'5'] .
第 150 小节:  [361'] . . .  |  [36'] . 5' .  |  1' . 3' .  |  . . . 1'
第 151 小节:  [472'] . 1' .  |  [1'2'] . [63'] .  |  3 . [53'] .  |  [55'] . [33'] .
第 152 小节:  [252'] . . .  |  [21'] . 6 .  |  5 . 1' .  |  . 6 3 1
第 153 小节:  [13561'] . . .  |  [1356] . . .  |  [1356] . . .  |  [1356] . . .
第 154 小节:  [1356] . . .  |  . . . .  |  [161'] . [272'] .  |  . . . .
第 155 小节:  [1463'] . 1 .  |  [46'] . [65'] .  |  [461'] . 1 .  |  [46'] . [15'] .
第 156 小节:  [257] . . .  |  [26'] . [55'] .  |  [57] . 2 .  |  5 . [22'] .
第 157 小节:  [3573'] . 3 .  |  [56'] . [35'] .  |  [357] . 2' .  |  [76'] . [55'] .
第 158 小节:  [136] . 3 .  |  [16'] . [35'] .  |  [25] 2' [23'] .  |  5 . 2 .
第 159 小节:  [1462'] . . .  |  1' . [46] .  |  [14] . [41'] .  |  1 . [41'] .
第 160 小节:  [2572'] . . .  |  [21'] . 6 .  |  [57] . 1' .  |  5 . [21'] .
第 161 小节:  [3573'] . 3 .  |  1 . [35] 1  |  3 . 2 .  |  [3573'] . 5 2'
第 162 小节:  [1363'] . [12'] .  |  3 . 6 .  |  [31'] . 1 .  |  [1362'] . 1 .
第 163 小节:  [1463'] . 1 .  |  [46'] . [65'] .  |  [461'] . . .  |  [16'] . [45'] .
第 164 小节:  [257] . 2 .  |  [56'] . [75'] .  |  [25] . [257] .  |  2 . [52'] .
第 165 小节:  [3573'] . 3 .  |  [56'] . [575'] .  |  5 . 3 .  |  [576'] . [355'] .
第 166 小节:  [136] . . .  |  [36'] . [65'] .  |  [257] . 5 .  |  [21'] . [53'] .
第 167 小节:  [142'] . . .  |  1' . [46] .  |  [14] . 1' .  |  4 . [11'] .
第 168 小节:  [2572'] . 5 .  |  [21'] . [56] .  |  [25] . 1' .  |  5 . 2 .
第 169 小节:  [1361'] . 3 .  |  1 . [61''] .  |  [61'3'7'] . 5' .  |  6 . [33'] .
第 170 小节:  [136] . [12'] .  |  3 . [361'] .  |  6 . [2573'] .  |  . . 2 .
第 171 小节:  [1462'] . . .  |  1' . 6 .  |  . . . .  |  . . 3' .
第 172 小节:  [2572'] . . .  |  1' . 6 .  |  . . 1' .  |  . . . .
第 173 小节:  . . . .  |  . . . .  |  . . . .  |  . . . .
第 174 小节:  [147] . 1' .  |  [12'] . 3' .  |  [46] . [15] .  |  [45'] . [13'] .
第 175 小节:  [25] . . .  |  2 . . .  |  [572'4'] . . .  |  5 . 2 .
第 176 小节:  [357] . 1' .  |  [32'] . 3' .  |  [57] . 5 .  |  [25'] . [53'] .
